id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,4.45,2.32,1,49,49,Car,1,71.18,36.78,37.57,37.19,-1.00,-1.00,-1.00,0
2,4.24,1.92,1,107,107,Car,2,137.56,31.91,33.01,32.50,-1.00,-1.00,-1.00,0
3,4.75,1.92,1,112,112,Car,2,126.42,28.12,29.43,28.53,-1.00,-1.00,-1.00,0
4,4.55,1.92,1,120,120,Car,1,187.07,37.51,41.02,39.35,109.75,2.81,72.83,0
5,5.05,2.12,1,146,146,Car,1,224.24,37.68,39.25,38.70,25.11,0.64,151.34,0
6,3.74,1.92,1,226,226,Car,1,291.78,31.03,33.23,32.44,63.03,2.03,-1.00,0
7,16.57,2.50,1,260,260,Truck,1,257.83,24.68,25.13,24.90,60.37,2.41,-1.00,0
8,4.95,2.12,1,276,276,Car,1,330.97,29.62,30.45,30.10,35.17,1.18,-1.00,0
9,4.45,2.02,1,332,332,Car,1,386.44,28.86,30.06,29.20,49.92,1.66,115.43,0
10,4.95,2.12,1,345,345,Car,1,408.16,28.61,31.67,29.68,10.83,0.37,11.11,0
11,12.03,2.50,1,374,374,Truck,1,340.92,22.58,23.52,22.86,19.93,0.87,24.89,0
12,12.43,2.50,1,420,420,Truck,1,383.90,22.36,24.28,22.92,12.10,0.53,20.08,0
13,6.67,2.43,2,133,132,Car,1,171.74,32.77,32.95,32.83,-1.00,-1.00,-1.00,0
14,11.82,2.50,2,355,354,Truck,1,319.60,22.52,22.74,22.64,50.38,2.23,-1.00,0
15,4.85,2.02,8,275,268,Car,2,410.15,36.85,39.09,38.43,243.69,6.24,24.80,1
16,4.55,1.92,22,366,345,Car,1,411.95,27.81,32.92,29.95,14.19,0.48,9.62,0
17,5.15,2.02,37,257,221,Car,2,403.76,43.26,48.21,45.93,39.80,0.91,9.15,0
18,11.93,2.50,42,475,434,Truck,1,409.26,23.48,23.74,23.64,39.83,1.69,36.23,0
19,11.93,2.50,73,484,412,Truck,2,377.66,22.53,23.22,23.00,56.32,2.49,-1.00,0
20,4.45,2.02,79,410,332,Car,1,409.87,28.12,33.82,30.97,46.24,1.60,19.38,0
21,11.72,2.50,80,512,433,Truck,1,408.59,23.15,24.38,23.65,23.46,0.98,35.91,0
22,16.67,2.50,83,525,443,Truck,2,409.67,22.57,23.42,23.17,21.58,0.92,86.94,0
23,5.96,2.43,94,435,342,Car,1,411.27,28.59,32.14,30.16,14.93,0.46,40.65,0
24,4.14,1.92,120,458,339,Car,1,410.75,28.34,32.05,30.39,22.12,0.76,22.23,0
25,4.04,1.82,186,485,300,Car,2,410.51,33.89,34.58,34.34,264.51,7.80,-1.00,0
26,16.78,2.50,188,630,443,Truck,2,409.53,22.58,23.37,23.16,79.10,3.46,1922.34,0
27,5.36,2.32,223,523,301,Car,1,410.09,30.15,35.91,34.19,76.68,2.36,16.52,0
28,4.04,1.82,228,535,308,Car,1,402.40,31.26,33.31,32.78,17.06,0.54,5.28,1
29,4.75,2.02,298,612,315,Car,2,411.47,32.00,33.10,32.78,148.29,4.63,-1.00,0
30,4.14,1.92,311,648,338,Car,1,409.37,30.05,30.66,30.38,107.53,3.57,25.94,0
31,4.85,2.02,344,694,351,Car,2,411.31,28.83,30.01,29.39,54.23,1.83,11.56,1
32,5.05,2.22,356,719,364,Car,1,409.60,28.00,28.68,28.22,48.18,1.68,-1.00,0
33,16.78,2.50,364,829,466,Truck,2,409.26,21.39,22.49,22.01,26.13,1.20,-1.00,0
34,3.94,1.82,380,689,310,Car,2,410.66,31.46,34.32,33.26,34.88,1.09,16.16,0
35,4.14,1.82,423,713,291,Car,2,411.10,34.41,36.45,35.46,29.01,0.83,12.72,0
36,16.78,2.50,442,902,461,Truck,2,408.50,21.51,22.57,22.20,48.74,2.17,289.30,0
37,4.35,1.92,445,739,295,Car,2,410.27,33.84,36.22,34.90,24.93,0.70,19.41,0
38,9.20,2.50,464,884,421,Truck,1,407.03,23.95,24.41,24.24,111.69,4.59,-1.00,0
39,4.75,2.12,493,722,230,Car,1,408.42,44.22,44.83,44.62,323.87,7.22,23.87,0
40,4.45,1.82,512,790,279,Car,2,411.14,35.40,37.97,36.97,72.46,1.93,19.40,0
41,16.78,2.50,517,977,461,Truck,2,409.31,21.72,22.79,22.25,49.06,2.23,1037.58,0
42,9.70,2.50,556,995,440,Truck,1,406.67,22.85,23.34,23.17,77.97,3.34,-1.00,0
43,4.55,1.92,636,926,291,Car,2,410.78,34.96,36.00,35.43,72.04,2.00,5.22,1
44,4.75,2.02,666,904,239,Car,1,402.24,41.70,42.49,42.28,305.31,7.32,-1.00,0
45,4.75,2.02,682,924,243,Car,1,402.71,40.80,41.94,41.63,21.53,0.53,-1.00,0
46,4.04,1.82,715,1024,310,Car,2,404.57,32.34,33.33,32.76,64.80,1.95,6.23,1
47,5.15,2.02,778,1030,253,Car,1,403.71,38.40,41.28,40.07,93.13,2.35,5.58,1
48,6.87,2.50,910,1203,294,Truck,1,407.19,34.34,35.17,34.76,206.76,5.88,23.17,0
49,4.75,2.02,932,1147,216,Car,1,410.45,44.42,50.67,47.77,218.81,4.59,23.63,0
50,4.75,2.12,932,1214,283,Car,1,408.52,35.69,36.68,36.24,22.94,0.63,20.07,1
51,5.05,2.12,978,1218,241,Car,2,411.18,41.96,43.43,42.86,321.77,7.58,35.30,0
52,16.88,2.50,1081,1477,397,Truck,1,387.70,24.00,24.98,24.49,49.69,2.04,-1.00,0
53,4.75,2.02,1105,1366,262,Car,2,412.12,39.30,40.04,39.50,-1.00,-1.00,-1.00,0
54,5.46,2.32,1119,1399,281,Car,1,409.65,36.47,36.68,36.60,265.51,7.24,1085.97,1
55,4.35,1.92,1129,1426,298,Car,2,411.33,33.84,35.13,34.65,33.15,0.98,-1.00,0
56,5.15,2.22,1153,1350,198,Car,2,408.82,49.93,53.77,51.93,272.21,5.31,34.70,0
57,9.40,2.50,1156,1589,434,Truck,1,408.38,23.30,24.11,23.59,65.64,2.72,-1.00,0
58,4.45,2.02,1180,1384,205,Car,2,407.12,47.45,51.79,49.93,48.95,1.03,-1.00,0
59,4.45,1.92,1220,1493,274,Car,1,410.31,37.05,37.93,37.59,137.63,3.65,107.38,0
60,16.57,2.50,1229,1661,433,Truck,1,409.25,23.51,23.85,23.69,50.06,2.12,136.25,0
61,11.22,2.50,1264,1677,414,Truck,2,409.30,24.20,25.19,24.78,171.82,7.10,-1.00,0
62,18.80,2.50,1288,1728,441,Truck,1,409.63,22.98,23.55,23.28,38.02,1.63,-1.00,0
63,5.86,2.50,1345,1749,405,Truck,1,398.54,23.66,24.95,24.67,23.80,0.99,19.33,0
64,21.32,2.50,1428,1822,395,Truck,2,375.42,23.19,24.10,23.84,105.44,4.51,-1.00,0
65,4.24,1.92,1445,1724,280,Car,1,410.46,36.42,37.12,36.81,335.35,9.03,27916.26,0
66,4.04,1.92,1488,1783,296,Car,2,411.35,33.78,35.67,34.87,-1.00,-1.00,-1.00,0
67,7.18,2.50,1511,1926,416,Truck,2,408.25,23.89,24.87,24.61,95.76,3.85,114.55,0
68,4.95,2.22,1585,1894,310,Car,1,410.83,32.96,33.46,33.26,176.91,5.32,18.53,1
69,20.31,2.50,1597,2023,427,Truck,2,408.74,23.54,24.28,24.00,62.63,2.65,-1.00,0
